m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1356,776,1130,354,68.67256637,,0.227928375,,,
1313,757,1094.17,337.167,69.18486158,,0.001216389,,,
1316,744,1096.67,352.667,67.84173908,,1.711506909,,,
1298,771,1081.67,310.667,71.27867094,,4.531304615,,,
1396,792,1163.33,371.333,68.0804243,,1.143959708,,,
1341,751,1117.5,366.5,67.20357942,,3.788493988,,,
1377,806,1147.5,341.5,70.23965142,,1.187373291,,,
1294,737,1078.33,341.333,68.34642456,,0.645709085,,,
1412,820,1176.67,356.667,69.68818785,,0.289662504,,,
1307,770,1089.17,319.167,70.6960346,,2.390269907,,,
1367,792,1139.17,347.167,69.52430278,,0.140113937,,,
1379,804,1149.17,345.167,69.9635389,,0.661870244,,,
1364,791,1136.67,345.667,69.58923874,,0.192944007,,,
1287,753,1072.5,319.5,70.20979021,,1.123187464,,,
1357,790,1130.83,340.833,69.86019119,,0.504393084,,,
1336,751,1113.33,362.333,67.45529178,,2.871984492,,,
1373,804,1144.17,340.167,70.26927817,,1.252817596,,,
1468,851,1223.33,372.333,69.56422225,,0.171592645,,,
1287,733,1072.5,339.5,68.34498834,,0.648019325,,,
1391,806,1159.17,353.167,69.53251033,,0.146325766,,,
1363,785,1135.83,350.833,69.11245521,,0.001408472,,,
1383,811,1152.5,341.5,70.36876356,,1.485421611,,,
1312,773,1093.33,320.333,70.70143507,,2.406997864,,,
1303,747,1085.83,338.833,68.79529945,,0.125801713,,,
1361,791,1134.17,343.167,69.74263118,,0.351229702,,,
1361,756,1134.17,378.167,66.65667404,,6.216598628,,,
1409,806,1174.17,368.167,68.6442338,,0.255784095,,,
1360,783,1133.33,350.333,69.0884385,,0.00378795,,,
1355,769,1129.17,360.167,68.10311999,,1.095925971,,,
1339,784,1115.83,331.833,70.26159899,,1.235686061,,,
1340,768,1116.67,348.667,68.7759141,,0.139928902,,,
1366,789,1138.33,349.333,69.31206241,,0.026269144,,,
1386,790,1155,365,68.3982684,,0.565077579,,,
1350,776,1125,349,68.97777778,,0.029655265,,,
1307,762,1089.17,327.167,69.96153034,,0.65860613,,,
1277,741,1064.17,323.167,69.63173177,,0.232080126,,,
1276,716,1063.33,347.333,67.33563428,,3.291867878,,,
1336,763,1113.33,350.333,68.53313932,,0.38049837,,,
1340,771,1116.67,345.667,69.04457002,,0.011112281,,,
1344,778,1120,342,69.46428571,,0.098785052,,,
1319,744,1099.17,355.167,67.68743688,,2.139046465,,,
1332,776,1110,334,69.90990991,,0.577486142,,,
1318,761,1098.33,337.333,69.28700846,,0.018775477,,,
1327,768,1105.83,337.833,69.45009631,,0.090066905,,,
1372,797,1143.33,346.333,69.70865804,,0.31211577,,,
1392,807,1160,353,69.56896552,,0.175544825,,,
1358,787,1131.67,344.667,69.5432414,,0.154650741,,,
1320,769,1100,331,69.90909091,,0.576242054,,,
1407,814,1172.5,358.5,69.42430704,,0.075252678,,,
1355,771,1129.17,358.167,68.28024124,,0.756453896,,,
1351,780,1125.83,345.833,69.28221845,,0.017485733,,,
1323,762,1102.5,340.5,69.11564626,,0.001179137,,,
