m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1134,794,945,151,84.02116402,,1.849435528,,,
1059,708,882.5,174.5,80.2266289,,5.92725571,,,
1098,758,915,157,82.84153005,,0.032510097,,,
1114,786,928.333,142.333,84.66789396,,4.026722346,,,
1064,734,886.667,152.667,82.78192377,,0.014568315,,,
1018,711,848.333,137.333,83.81142782,,1.322967709,,,
1146,772,955,183,80.83769634,,3.325254932,,,
1100,731,916.667,185.667,79.74542555,,8.501883475,,,
1089,752,907.5,155.5,82.86501377,,0.041530072,,,
1043,707,869.167,162.167,81.34225068,,1.739691902,,,
1178,827,981.667,154.667,84.24445357,,2.506614311,,,
1119,776,932.5,156.5,83.21715818,,0.309062264,,,
1113,736,927.5,191.5,79.35309973,,10.94368942,,,
1078,729,898.333,169.333,81.1503084,,2.282867417,,,
1228,856,1023.33,167.333,83.64848094,,0.974675297,,,
1170,828,975,147,84.92307692,,5.115976429,,,
1079,720,899.167,179.167,80.07411304,,6.693145654,,,
1127,802,939.167,137.167,85.39482328,,7.472562371,,,
1123,777,935.833,158.833,83.0276342,,0.134256078,,,
1159,780,965.833,185.833,80.75930311,,3.617304938,,,
1063,716,885.833,169.833,80.82787613,,3.361166192,,,
1021,690,850.833,160.833,81.09699553,,2.446812231,,,
1072,732,893.333,161.333,81.94032908,,0.519690189,,,
1036,714,863.333,149.333,82.70273463,,0.001723092,,,
1017,685,847.5,162.5,80.8259587,,3.368200512,,,
1064,710,886.667,176.667,80.07515787,,6.687740581,,,
1077,723,897.5,174.5,80.55710306,,4.427326975,,,
1033,722,860.833,138.833,83.87224932,,1.466581142,,,
1023,717,852.5,135.5,84.10557185,,2.086139289,,,
1133,801,944.167,143.167,84.83668673,,4.732635959,,,
1087,756,905.833,149.833,83.45909235,,0.636593121,,,
1146,796,955,159,83.35078534,,0.475494166,,,
1104,719,920,201,78.15217391,,20.33153711,,,
1065,716,887.5,171.5,80.67605634,,3.940892592,,,
1104,781,920,139,84.89130435,,4.973256172,,,
1084,733,903.333,170.333,81.14394138,,2.302148031,,,
1101,771,917.5,146.5,84.03269755,,1.880938348,,,
1056,732,880,148,83.18181818,,0.271017792,,,
1006,692,838.333,146.333,82.54476443,,0.013562945,,,
1123,778,935.833,157.833,83.13449088,,0.223981072,,,
1092,721,910,189,79.23076923,,11.76802329,,,
1162,779,968.333,189.333,80.447532,,4.900434459,,,
1121,770,934.167,164.167,82.42637558,,0.055154009,,,
1118,762,931.667,169.667,81.7888795,,0.760985776,,,
1079,720,899.167,179.167,80.07411304,,6.693145654,,,
1048,740,873.333,133.333,84.73285677,,4.291660296,,,
1135,792,945.833,153.833,83.73571233,,1.154524118,,,
1126,780,938.333,158.333,83.12613965,,0.21614611,,,
1156,804,963.333,159.333,83.46023649,,0.638420178,,,
