m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1072,773,893.333,120.333,86.52988303,,3.31678458,,,
1146,833,955,122,87.22513089,,1.267777589,,,
1026,771,855,84,90.1754386,,3.328258054,,,
1095,795,912.5,117.5,87.12328767,,1.507491658,,,
1075,782,895.833,113.833,87.29305574,,1.119430556,,,
1032,767,860,93,89.18604651,,0.697157069,,,
1094,790,911.667,121.667,86.65444729,,2.878586941,,,
1105,818,920.833,102.833,88.83261134,,0.231865509,,,
1137,839,947.5,108.5,88.54881266,,0.039095363,,,
1079,808,899.167,91.1667,89.86094908,,2.279682922,,,
1157,840,964.167,124.167,87.12183678,,1.511056577,,,
1099,809,915.833,106.833,88.33488201,,0.000262608,,,
1079,828,899.167,71.1667,92.08523,,13.9438225,,,
1099,820,915.833,95.8333,89.53597435,,1.40395759,,,
1051,781,875.833,94.8333,89.17225087,,0.674309796,,,
1086,805,905,100,88.95027624,,0.359027521,,,
